TF,Target
TFAP2A,PTGS2
TFAP2A,PVR
TFAP2A,S100B
TFAP2A,SERPINE1
TFAP2A,SLC19A1
TFAP2A,SMPD1
TFAP2A,SNAP91
TFAP2A,SP1
TFAP2A,SPRY2
TFAP2A,TAF7
TFAP2A,TFAP2A
TFAP2A,TH
TFAP2A,TIMP2
TFAP2A,VEGFA
TFAP2B,DRD1
TFAP2B,PTGDS
TFAP2C,CDKN1A
TFAP2C,CRABP2
TFAP2C,CSTA
TFAP2C,ECM1
TFAP2C,ERBB2
TFAP2C,ESR1
TFAP2C,FOXA1
TFAP2C,FOXC1
TFAP2C,FREM2
TFAP2C,GREB1
TFAP2C,MMP2
TFAP2C,MYC
TFAP2C,RET
TFAP2C,SULT1E1
TFAP2C,TFF1
TFAP4,MDM2
TFAP4,PENK
TFCP2,TF
TFDP1,CAV1
TFDP1,CCNE1
TFDP1,CDK1
TFDP1,DHFR
TFDP1,MYBL2
TFDP1,PCNA
TFDP1,RRM1
TFDP1,TYMS
THRA,CGA
THRB,CGA
THRB,POR
TLX1,ALDH1A1
TP53,ABCB1
TP53,ABCC1
TP53,ACTA2
TP53,ADA
TP53,ADGRB1
TP53,ADGRB2
TP53,AFP
TP53,AIFM2
TP53,AKT1
TP53,ALDH1A3
TP53,ALOX5
TP53,ANTXR1
TP53,APAF1
TP53,APCS
TP53,ARID3A
TP53,ASCC3
TP53,ATF3
TP53,BAK1
TP53,BAX
TP53,BBC3
TP53,BCL2
TP53,BCL2L1
TP53,BCL2L14
TP53,BCL3
TP53,BCL6
TP53,BDKRB2
TP53,BID
TP53,BIRC5
TP53,BIRC8
TP53,BNIP3L
TP53,BRCA1
TP53,BRCA2
TP53,BTG1
TP53,BTG2
TP53,BTG3
TP53,C12ORF5
TP53,C13ORF15
TP53,CABLES1
TP53,CASP1
TP53,CASP10
TP53,CASP3
TP53,CASP6
TP53,CAV1
TP53,CCNA1
TP53,CCNA2
TP53,CCNB1
TP53,CCND1
TP53,CCNG1
TP53,CCNG2
TP53,CCNK
TP53,CD82
TP53,CDC25C
TP53,CDH13
TP53,CDK1
TP53,CDKN1A
TP53,CDKN1B
TP53,CHEK1
TP53,CHEK2
TP53,CHMP4C
TP53,CHUK
TP53,CKM
TP53,COL18A1
TP53,COP1
TP53,CTNNB1
TP53,CTSD
TP53,CX3CL1
TP53,CYP24A1
TP53,DCC
TP53,DDB1
TP53,DDB2
TP53,DDIT4
TP53,DDR1
TP53,DKK1
TP53,DNMT1
TP53,DUSP1
TP53,DUSP11
TP53,DUSP5
TP53,E2F1
TP53,E2F3
TP53,E2F7
TP53,EDN2
TP53,EEF1A1
TP53,EGFR
TP53,EGR1
TP53,EI24
TP53,ELF4
TP53,EPCAM
TP53,EPHA2
TP53,ESR1
TP53,EZH2
TP53,FANCC
TP53,FAS
TP53,FBLN1
TP53,FBLN2
TP53,FDXR
TP53,FGF2
TP53,FLT1
TP53,FOS
TP53,FRMD5
TP53,GADD45A
TP53,GADD45G
TP53,GDF15
TP53,GHR
TP53,GML
TP53,GPNMB
TP53,GPX1
TP53,GSTP1
TP53,HGF
TP53,HIC1
TP53,HIPK2
TP53,HNF4A
TP53,HNRNPUL1
TP53,HRAS
TP53,HSP90AB1
TP53,HTT
TP53,IER3
TP53,IFI16
TP53,IGF1R
TP53,IGFBP3
TP53,IL1B
TP53,ING1
TP53,INTS7
TP53,IRF5
TP53,JAK2
TP53,KAT2B
TP53,KLK3
TP53,KRT8
TP53,LIF
TP53,LIG1
TP53,LITAF
TP53,MAD1L1
TP53,MAP4
TP53,MAPK8
TP53,MCM7
TP53,MDM2
TP53,MDM4
TP53,MET
TP53,MGMT
TP53,MKI67
TP53,MLH1
TP53,MMP2
TP53,MRPL27
TP53,MSH2
TP53,MUC2
TP53,MYC
TP53,NDRG1
TP53,NFATC4
TP53,NHLH2
TP53,NINJ1
TP53,NLRC4
TP53,NME1
TP53,NOS2
TP53,OGG1
TP53,P2RX6
TP53,PAX5
TP53,PCBP4
TP53,PCNA
TP53,PDGFRB
TP53,PEG3
TP53,PERP
TP53,PIAS3
TP53,PIDD1
TP53,PLAGL1
TP53,PLK1
TP53,PLK2
TP53,PLK3
TP53,PMAIP1
TP53,PML
TP53,PMS2
TP53,POLD1
TP53,PPM1D
TP53,PPM1J
TP53,PRDM1
TP53,PRG3
TP53,PRKAB1
TP53,PRODH
TP53,PTEN
TP53,PTPA
TP53,PTPN13
TP53,PTTG1
TP53,PYCARD
TP53,RABGGTA
TP53,RAD51
TP53,RAD51B
TP53,RASSF1
TP53,RB1
TP53,RCHY1
TP53,RELA
TP53,RHOA
TP53,RNF144B
TP53,RPS27L
TP53,RRM1
TP53,RRM2B
TP53,S100A2
TP53,S100B
TP53,SCN3B
TP53,SERPINB5
TP53,SERPINE1
TP53,SERTAD1
TP53,SESN1
TP53,SESN2
TP53,SFN
TP53,SH2D1A
TP53,SIAH1
TP53,SIVA1
TP53,SLC2A1
TP53,SLC6A6
TP53,SMPD3
TP53,SSTR2
TP53,STAT1
TP53,STAT3
TP53,STEAP3
TP53,SYK
TP53,TAP1
TP53,TBC1D31
TP53,TBXAS1
TP53,TCEAL1
TP53,TCF7L2
TP53,TENT4A
TP53,TERT
TP53,TGFA
TP53,TGFB1
TP53,THBS1
TP53,TNFRSF10A
TP53,TNFRSF10B
TP53,TNFRSF10C
TP53,TNFRSF10D
TP53,TP53
TP53,TP53AIP1
TP53,TP53I3
TP53,TP53INP1
TP53,TP53TG1
TP53,TP53TG5
TP53,TP63
TP53,TP73
TP53,TP73:DELTA
TP53,TRIAP1
TP53,TRIM22
TP53,TSC2
TP53,TYMS
TP53,TYRP1
TP53,UBE2L3
TP53,UHRF1
TP53,VCAN
TP53,VDR
TP53,VEGFA
TP53,WRN
TP53,XPC
TP53,ZMAT3
TP63,CDKN1A
TP63,KLF4
TP63,PPARA
TP63,SFN
TP63,TCF4
TP63,VDR
TP73,BBC3
TP73,CABLES1
TP73,CDK1
TP73,CDKN1A
TP73,MDM2
TP73,PMAIP1
TP73,TERT
TRPS1,RUNX2
TWIST1,AKT2
TWIST1,CD24
TWIST1,CDH1
TWIST1,CDKN1A
TWIST1,CDKN2A
TWIST1,CLDN7
TWIST1,ESR1
TWIST1,FOS
TWIST1,GLI1
TWIST1,MDM2
TWIST1,MMP2
TWIST1,NR2F1
TWIST1,SRPX
TWIST1,TIMP1
TWIST1,VEGFA
TWIST2,MMP2
TWIST2,NR2F1
TWIST2,SRPX
USF1,ABCA1
USF1,APC
USF1,APEX1
USF1,APOA2
USF1,APOA5
USF1,APOC3
USF1,B2M
USF1,BRCA2
USF1,CCNB1
USF1,CD2
USF1,CDK4
USF1,CEACAM1
USF1,CEACAM5
USF1,CEBPA
USF1,CIITA
USF1,CTSB
USF1,CTSD
USF1,CXCR4
USF1,CYP19A1
USF1,CYP1A1
USF1,CYP1A2
USF1,CYP3A4
USF1,FASN
USF1,FBP1
USF1,FCER1A
USF1,FMR1
USF1,GATA5
USF1,GCK
USF1,HMOX1
USF1,HOXB4
USF1,HOXB7
USF1,ID4
USF1,IFNG
USF1,ISG20
USF1,LIPC
USF1,MYH9
USF1,NUP188
USF1,OGN
USF1,P4HA1
USF1,PF4
USF1,PIGR
USF1,PKLR
USF1,PTGDS
USF1,PTGS2
USF1,PTPN6
USF1,S100A6
USF1,SERBP1
USF1,SERPINE1
USF1,SF1
USF1,SLC19A1
USF1,SLC1A3
USF1,SLC22A2
USF1,TCN2
USF1,TERT
USF1,TGFB1
USF1,TGFB2
USF1,TOP3A
USF1,TRIM25
USF1,TYMS
USF2,ABCA1
USF2,APC
USF2,APOA2
USF2,ATP5F1A
USF2,B2M
USF2,BRCA1
USF2,BRCA2
USF2,CD2
USF2,CEACAM1
USF2,CEACAM5
USF2,CTSB
USF2,CTSD
USF2,CXCR4
USF2,CYP19A1
USF2,CYP1A2
USF2,FBP1
USF2,FCER1A
USF2,FMR1
USF2,HMOX1
USF2,HOXB4
USF2,IGF2R
USF2,LIPC
USF2,MYH9
USF2,P4HA1
USF2,PDX1
USF2,PF4
USF2,PIGR
USF2,PKLR
USF2,PTGS2
USF2,PTPN6
USF2,SF1
USF2,SLC19A1
USF2,TCN2
USF2,TERT
USF2,TGFB1
USF2,TGFB2
USF2,THBS1
USF2,TOP3A
VDR,AMH
VDR,ASAP2
VDR,BGLAP
VDR,BHLHE40
VDR,CALB1
VDR,CAMP
VDR,CDH1
VDR,CDKN1A
VDR,CDKN1B
VDR,CYP24A1
VDR,CYP3A4
VDR,CYP7A1
VDR,DDIT4
VDR,EGFR
VDR,ELL
VDR,HOXA10
VDR,IGFBP3
VDR,IL10
VDR,IL12B
VDR,PLD1
VDR,PODXL
VDR,PTH
VDR,PTK2B
VDR,TRPV6
WT1,ABCB1
WT1,AMH
WT1,AR
WT1,BCL2
WT1,CCN2
WT1,CCN3
WT1,CDH1
WT1,CDKN1A
WT1,CIAO1
WT1,EGFR
WT1,ETS1
WT1,IGF1
WT1,IGF1R
WT1,IGF2
WT1,IL2RB
WT1,MYB
WT1,MYC
WT1,MYCN
WT1,NPHS1
WT1,NR5A1
WT1,ODC1
WT1,PAX2
WT1,PDGFA
WT1,PODXL
WT1,SMAD3
WT1,TBXA2R
WT1,TERT
WT1,THBS1
WT1,UBE2I
WT1,VDR
WT1,WT1
WT1,WTAP
YBX1,AGT
YBX1,EGFR
YBX1,KPNA2
YBX1,MMP13
YBX1,RBBP8
YBX1,SUMO1
YY1,ACTR5
YY1,ADA
YY1,AFG1L
YY1,APH1A
YY1,ATP13A1
YY1,ATXN10
YY1,CCDC43
YY1,CDK5RAP2
YY1,CETP
YY1,COQ5
YY1,COQ9
YY1,CPSF2
YY1,CREBBP
YY1,CTCF
YY1,CXCR4
YY1,DEK
YY1,DLG1
YY1,DNAJA3
YY1,DNAJB4
YY1,EGFR
YY1,EP300
YY1,EPAS1
YY1,ERBB2
YY1,FAS
YY1,FDPS
YY1,FGFR1OP
YY1,HACD2
YY1,HCFC1
YY1,HNRNPL
YY1,HSD3B2
YY1,HSF1
YY1,HSPA5
YY1,IFNB1
YY1,IL5
YY1,IRAK1
YY1,KAT6A
YY1,LDLR
YY1,LSS
YY1,MANF
YY1,MICU2
YY1,MKLN1
YY1,MRPL46
YY1,MRPS10
YY1,MRPS18B
YY1,MRPS24
YY1,MYC
YY1,NARS1
YY1,NOS2
YY1,NR3C1
YY1,OPRM1
YY1,PAK4
YY1,PBDC1
YY1,PPP2R1A
YY1,PRDM2
YY1,PSMD8
YY1,PTPA
YY1,RAB3GAP1
YY1,RANBP10
YY1,RAVER1
YY1,RNF26
YY1,RNF40
YY1,RPRD2
YY1,SNX27
YY1,SPNS1
YY1,SRP68
YY1,TNFRSF10B
YY1,TOP3A
YY1,TP53
YY1,TP73
YY1,TTC17
YY1,WDR82
YY1,ZNF175
YY1,ZNF615
ZBTB16,CCNA2
ZBTB17,CDKN2B
ZBTB7A,PFKP
ZEB1,AR
ZEB1,CDH1
ZEB1,GRHL2
ZEB1,ITGB4
ZEB1,LAMC2
ZEB1,PKP3
ZEB1,SPRR1B
ZEB2,CDH1
ZEB2,MEOX2
ZEB2,VIM
ZFHX3,MUC5AC
ZIC1,APOE
ZIC2,APOE
ZIC2,DRD1
ZNF143,ESCO2
ZNF148,CXCL5
ZNF148,IRS2
ZNF148,MMP3
ZNF148,RNLS
ZNF202,ABCA1
ZNF202,POMGNT1
ZNF224,ALDOA
ZNF267,MMP10
ZNF382,HMGA2
AHR,ASAP1
AHR,ERG
AHR,VGLL4
AR,AKAP13
AR,CUX2
AR,DLG2
AR,ITPR2
AR,ITSN1
AR,KDM4B
AR,LARS2
AR,MID1
AR,MME
AR,MYLK
AR,NCOR2
AR,NEDD9
AR,NFIB
AR,PRLR
AR,RUNX1
AR,SPIDR
AR,ST3GAL1
AR,TG
AR,TPRG1
AR,ZMIZ1
AR,ZNF407
ARNT,ANGPT1
ARNT,ESR1
ATF1,BRCA1
ATF1,GOLPH3
ATF1,IPO11
ATF1,STAT3
ATF1,TEAD1
ATF1,TFRC
ATF1,TSPAN31
ATF1,UBE2D3
ATF1,ZNF184
ATF2,BCL2
ATF2,DUSP10
ATF3,STAT3
ATF4,AARS1
ATF4,CARS1
ATF4,CEBPG
ATF4,DCUN1D5
ATF4,DXO
ATF4,F7
ATF4,MARS1
ATF4,MTHFD1L
ATF4,PCK2
ATF4,PPARGC1A
ATF4,RSL24D1
ATF4,S100P
ATF4,SHMT2
ATF4,STK40
ATF4,TARS1
ATF4,TIMM44
ATF4,TNFRSF10B
BACH1,AFG3L1P
BACH1,ALDOA
BACH1,ASAP1
BACH1,BICDL1
BACH1,CDK6
BACH1,CLIP4
BACH1,DPH6
BACH1,GCLC
BACH1,IFRD1
BACH1,KCTD20
BACH1,LBR
BACH1,MAFG
BACH1,MAPT
BACH1,ME1
BACH1,MSANTD3
BACH1,NQO2
BACH1,PHLDA2
BACH1,PIK3CD
BACH1,PSAP
BACH1,RFFL
BACH1,SLC48A1
BACH1,SLC7A11
BACH1,SLX4IP
BACH1,SMARCA4
BACH1,SQSTM1
BACH1,SSC4D
BACH1,SYNJ2
BACH1,TNFAIP2
BACH1,TRIM56
BACH2,RIPOR2
BATF,TNFRSF8
BCL6,FOXO3
BHLHE40,NR4A1
CDX2,HNF4G
CEBPA,ABCA4
CEBPA,ABCC11
CEBPA,ABCC3
CEBPA,ABLIM1
CEBPA,ABLIM3
CEBPA,ACOX2
CEBPA,ACSL3
CEBPA,ACSS3
CEBPA,ADD3
CEBPA,ADGRG6
CEBPA,ADGRV1
CEBPA,AFF1
CEBPA,AK4
CEBPA,AKAP13
CEBPA,AKAP6
CEBPA,ALDH1A1
CEBPA,ALDH1A2
CEBPA,AMPD3
CEBPA,ANK3
CEBPA,ANKH
CEBPA,ANO10
CEBPA,ARHGAP17
CEBPA,ARHGAP18
CEBPA,ARHGAP24
CEBPA,ARHGAP25
CEBPA,ARHGAP26
CEBPA,ARHGEF10L
CEBPA,ARHGEF12
CEBPA,ARHGEF3
CEBPA,ARID1B
CEBPA,ARID5B
CEBPA,ARSG
CEBPA,ASAP1
CEBPA,ASCC2
CEBPA,ATG10
CEBPA,ATP2A2
CEBPA,ATP2C1
CEBPA,ATP9B
CEBPA,ATXN1
CEBPA,ATXN7
CEBPA,AUTS2
CEBPA,BAZ2B
CEBPA,BBX
CEBPA,BCAR3
CEBPA,BCAS3
CEBPA,BHLHE40
CEBPA,C2
CEBPA,C8B
CEBPA,CALD1
CEBPA,CAMK2D
CEBPA,CAST
CEBPA,CBFA2T2
CEBPA,CCDC12
CEBPA,CD36
CEBPA,CD44
CEBPA,CDC14B
CEBPA,CDH23
CEBPA,CDK5RAP2
CEBPA,CDK6
CEBPA,CELF1
CEBPA,CEMIP2
CEBPA,CHN2
CEBPA,CLASP1
CEBPA,CLEC16A
CEBPA,CLIP1
CEBPA,CLMN
CEBPA,CNGB1
CEBPA,COL14A1
CEBPA,CPED1
CEBPA,CPM
CEBPA,CPNE4
CEBPA,CRADD
CEBPA,CRIM1
CEBPA,CRTC3
CEBPA,CRYBG1
CEBPA,CTBS
CEBPA,CTNNBL1
CEBPA,CUEDC1
CEBPA,CUX1
CEBPA,CUX2
CEBPA,CYTH1
CEBPA,DAAM1
CEBPA,DAB1
CEBPA,DAB2IP
CEBPA,DAPK1
CEBPA,DENND10
CEBPA,DENND1A
CEBPA,DENND2B
CEBPA,DENND3
CEBPA,DLC1
CEBPA,DLEU1
CEBPA,DLG1
CEBPA,DLG2
CEBPA,DLGAP1
CEBPA,DMXL2
CEBPA,DNAH14
CEBPA,DOCK10
CEBPA,DOCK4
CEBPA,DOCK5
CEBPA,DPYS
CEBPA,DST
CEBPA,DUSP10
CEBPA,DUSP22
CEBPA,EBF1
CEBPA,ECE1
CEBPA,EFHC1
CEBPA,EFNA5
CEBPA,EGFR
CEBPA,EHF
CEBPA,ELMO1
CEBPA,ELMSAN1
CEBPA,EMCN
CEBPA,EML4
CEBPA,EML6
CEBPA,ENTPD1
CEBPA,EPAS1
CEBPA,EPB41L2
CEBPA,ERC1
CEBPA,ERC2
CEBPA,ERN1
CEBPA,ESR1
CEBPA,ETV6
CEBPA,EXOC4
CEBPA,EXT1
CEBPA,FAM107B
CEBPA,FAM13A
CEBPA,FAM47E
CEBPA,FARP1
CEBPA,FBXO27
CEBPA,FBXO38
CEBPA,FBXW11
CEBPA,FCHSD2
CEBPA,FERMT2
CEBPA,FGD4
CEBPA,FGGY
CEBPA,FILIP1L
CEBPA,FLNB
CEBPA,FNDC3B
CEBPA,FNIP2
CEBPA,FOXN3
CEBPA,FOXO3
CEBPA,FOXP1
CEBPA,FRMD4B
CEBPA,FRY
CEBPA,FST
CEBPA,FTO
CEBPA,FYN
CEBPA,GALNT2
CEBPA,GAS7
CEBPA,GATA4
CEBPA,GCLC
CEBPA,GFOD1
CEBPA,GHR
CEBPA,GLIS3
CEBPA,GMDS
CEBPA,GNA12
CEBPA,GPAM
CEBPA,GPC6
CEBPA,GPT2
CEBPA,GRAMD2B
CEBPA,GRB10
CEBPA,GSAP
CEBPA,GSE1
CEBPA,GXYLT2
CEBPA,HCAR1
CEBPA,HIP1
CEBPA,HIPK2
CEBPA,HIVEP2
CEBPA,HIVEP3
CEBPA,HNMT
CEBPA,HPCAL1
CEBPA,HSD17B2
CEBPA,HTT
CEBPA,IFNGR1
CEBPA,IGF1R
CEBPA,IGF2R
CEBPA,IL1R1
CEBPA,IL1RAP
CEBPA,IMPA2
CEBPA,IPCEF1
CEBPA,IQSEC1
CEBPA,IRX6
CEBPA,ITM2B
CEBPA,ITPR1
CEBPA,ITPR2
CEBPA,JAZF1
CEBPA,JMJD1C
CEBPA,KALRN
CEBPA,KCNJ15
CEBPA,KDM4B
CEBPA,KIAA0319L
CEBPA,KIAA1217
CEBPA,LAMA3
CEBPA,LAMB1
CEBPA,LARGE1
CEBPA,LARS2
CEBPA,LGR4
CEBPA,LIMD1
CEBPA,LINC00299
CEBPA,LITAF
CEBPA,LMBR1
CEBPA,LNX1
CEBPA,LPP
CEBPA,LRCH1
CEBPA,LRIG1
CEBPA,LYRM1
CEBPA,LYRM4
CEBPA,MACF1
CEBPA,MACROD2
CEBPA,MAGI1
CEBPA,MAML3
CEBPA,MAP3K5
CEBPA,MAP4K4
CEBPA,MAPK3
CEBPA,MAST4
CEBPA,MBNL1
CEBPA,MBNL2
CEBPA,MBNL3
CEBPA,MBP
CEBPA,MCC
CEBPA,MCF2L2
CEBPA,MED13L
CEBPA,MEIS1
CEBPA,MGLL
CEBPA,MPO
CEBPA,MTMR12
CEBPA,MTMR7
CEBPA,MTSS1
CEBPA,MTUS1
CEBPA,MVB12B
CEBPA,MYBPC1
CEBPA,MYLK
CEBPA,MYO1B
CEBPA,MYO1F
CEBPA,MYOM1
CEBPA,NAALADL2
CEBPA,NABP1
CEBPA,NAV2
CEBPA,NAV3
CEBPA,NCEH1
CEBPA,NCOA2
CEBPA,NDEL1
CEBPA,NDST1
CEBPA,NDUFAF6
CEBPA,NEDD4L
CEBPA,NEDD9
CEBPA,NEK10
CEBPA,NEK6
CEBPA,NFIA
CEBPA,NFIB
CEBPA,NFIL3
CEBPA,NHSL1
CEBPA,NIBAN1
CEBPA,NNMT
CEBPA,NPAS2
CEBPA,NPC1
CEBPA,NR2F2
CEBPA,NRP1
CEBPA,NSMCE2
CEBPA,NUMB
CEBPA,PACSIN2
CEBPA,PAG1
CEBPA,PARD3
CEBPA,PCBP1
CEBPA,PCCA
CEBPA,PCSK6
CEBPA,PDE4B
CEBPA,PDE4D
CEBPA,PDLIM5
CEBPA,PDS5A
CEBPA,PGM1
CEBPA,PHACTR1
CEBPA,PHACTR2
CEBPA,PHC2
CEBPA,PHLDB2
CEBPA,PHLPP1
CEBPA,PIGU
CEBPA,PIK3AP1
CEBPA,PIK3R1
CEBPA,PIM1
CEBPA,PIP4K2A
CEBPA,PLCB1
CEBPA,PLCL2
CEBPA,PLD1
CEBPA,PLEKHM3
CEBPA,PLIN2
CEBPA,PLPP3
CEBPA,POR
CEBPA,PPARGC1A
CEBPA,PREX1
CEBPA,PRKAG2
CEBPA,PRKCE
CEBPA,PRKCH
CEBPA,PRLR
CEBPA,PROX1
CEBPA,PRRC2B
CEBPA,PSD3
CEBPA,PSMA1
CEBPA,PTK2
CEBPA,PTK2B
CEBPA,PTP4A1
CEBPA,PTP4A2
CEBPA,PTPN12
CEBPA,PTPRG
CEBPA,PVT1
CEBPA,PYGL
CEBPA,RAB3D
CEBPA,RABGAP1L
CEBPA,RAD51B
CEBPA,RALGAPA2
CEBPA,RAPGEF1
CEBPA,RAPGEF2
CEBPA,RAPGEF4
CEBPA,RBM47
CEBPA,RBMS1
CEBPA,RBMS3
CEBPA,RBPJ
CEBPA,RBPMS
CEBPA,RCAN1
CEBPA,RERE
CEBPA,RHO
CEBPA,RHOBTB3
CEBPA,RIN2
CEBPA,RIN3
CEBPA,RNA5SP40
CEBPA,ROCK2
CEBPA,RREB1
CEBPA,RTN4
CEBPA,RUFY3
CEBPA,RUNX1
CEBPA,SAMD4A
CEBPA,SASH1
CEBPA,SCARB1
CEBPA,SCN8A
CEBPA,SDC2
CEBPA,SELENOP
CEBPA,SEM1
CEBPA,SEMA4D
CEBPA,SEPTIN9
CEBPA,SERGEF
CEBPA,SERINC5
CEBPA,SETD7
CEBPA,SGK1
CEBPA,SH3BP4
CEBPA,SH3BP5
CEBPA,SH3KBP1
CEBPA,SHANK2
CEBPA,SIK3
CEBPA,SIL1
CEBPA,SIPA1L1
CEBPA,SLC13A5
CEBPA,SLC22A23
CEBPA,SLC24A4
CEBPA,SLC2A9
CEBPA,SLC38A4
CEBPA,SLC39A11
CEBPA,SLC44A1
CEBPA,SLC8A1
CEBPA,SLX4IP
CEBPA,SMAD3
CEBPA,SMAP2
CEBPA,SMARCA2
CEBPA,SMYD3
CEBPA,SNTB1
CEBPA,SORBS1
CEBPA,SORBS2
CEBPA,SORL1
CEBPA,SPAG9
CEBPA,SPATS2L
CEBPA,SPTBN1
CEBPA,ST3GAL1
CEBPA,ST3GAL5
CEBPA,ST3GAL6
CEBPA,ST6GAL1
CEBPA,STARD13
CEBPA,STAT5A
CEBPA,STIM1
CEBPA,STK39
CEBPA,STXBP5
CEBPA,STXBP6
CEBPA,SUSD1
CEBPA,SVIL
CEBPA,SYK
CEBPA,SYNE1
CEBPA,SYNE2
CEBPA,TACC1
CEBPA,TACC2
CEBPA,TBC1D1
CEBPA,TBC1D14
CEBPA,TBC1D2B
CEBPA,TBC1D4
CEBPA,TBC1D5
CEBPA,TBC1D8
CEBPA,TBXAS1
CEBPA,TCF7L2
CEBPA,TECTB
CEBPA,TENM4
CEBPA,TEX2
CEBPA,TG
CEBPA,TGFBI
CEBPA,TGFBR3
CEBPA,TGM2
CEBPA,TGM3
CEBPA,THADA
CEBPA,TIAM2
CEBPA,TJP2
CEBPA,TLE1
CEBPA,TLE3
CEBPA,TLK1
CEBPA,TLN2
CEBPA,TMEM131L
CEBPA,TNFSF8
CEBPA,TNIK
CEBPA,TNKS
CEBPA,TNS1
CEBPA,TNS3
CEBPA,TRAK1
CEBPA,TRIB1
CEBPA,TRIM2
CEBPA,TRIO
CEBPA,TSPAN14
CEBPA,TTC28
CEBPA,UBASH3B
CEBPA,USP10
CEBPA,USP47
CEBPA,USP6NL
CEBPA,UTRN
CEBPA,VCL
CEBPA,VMP1
CEBPA,VPS13D
CEBPA,WWC1
CEBPA,YAP1
CEBPA,ZBTB16
CEBPA,ZBTB20
CEBPA,ZBTB38
CEBPA,ZFAT
CEBPA,ZFP36L2
CEBPA,ZMIZ1
CEBPA,ZMYND8
CEBPA,ZNF385B
CEBPA,ZNRF3
CEBPB,ALDH1A1
CEBPB,DLC1
CEBPB,MAD1L1
CEBPB,PPARG
CEBPB,SMAD3
CEBPD,CCND1
CEBPD,GRAMD1A
CEBPD,IL6
CEBPD,NFIL3
CEBPD,TF
CREB1,BRCA1
CREB1,CD74
CREB1,KCNN3
CREB1,LYN
CREB1,MALAT1
CREB1,PDE4D
CREB1,PER1
CREB1,RUNX1
CREB1,SLC9A1
CREB1,SOX9
CREB1,STAT3
CREB3,HM13
CREB3,PRPF31
CREB3L1,VEGFA
CREM,CD86
CREM,GPCPD1
CREM,PDE4A
CTCF,ABCA13
CTCF,ABCA4
CTCF,ABR
CTCF,ACAP3
CTCF,ACOT7
CTCF,ACOXL
CTCF,ACTL8
CTCF,ADAMTS1
CTCF,ADARB1
CTCF,ADCY5
CTCF,ADGRB1
CTCF,ADGRV1
CTCF,AFAP1
CTCF,AGAP1
CTCF,AGAP3
CTCF,AHDC1
CTCF,AHRR
CTCF,AKAP1
CTCF,ALAD
CTCF,ALDH1A2
CTCF,ALK
CTCF,AMPD3
CTCF,ANK3
CTCF,ANKRD11
CTCF,ANKS1B
CTCF,ANO10
CTCF,ANO2
CTCF,APBA2
CTCF,APBB2
CTCF,ARHGAP10
CTCF,ARHGAP15
CTCF,ARHGAP22
CTCF,ARHGAP26
CTCF,ARHGEF1
CTCF,ARHGEF10L
CTCF,ARHGEF17
CTCF,ARHGEF3
CTCF,ARID1B
CTCF,ARID5B
CTCF,ARL8B
CTCF,ARNTL
CTCF,ASAP1
CTCF,ATP2B2
CTCF,ATP8B3
CTCF,ATP8B4
CTCF,ATRNL1
CTCF,AUTS2
CTCF,BANP
CTCF,BBX
CTCF,BCAR3
CTCF,BCL11A
CTCF,BCR
CTCF,BDNF
CTCF,BMPER
CTCF,BRD4
CTCF,BRF1
CTCF,CABIN1
CTCF,CACNA1A
CTCF,CACNA1C
CTCF,CACNA1D
CTCF,CACNB4
CTCF,CADPS
CTCF,CAMK2B
CTCF,CAPN2
CTCF,CAPN5
CTCF,CARS2
CTCF,CASZ1
CTCF,CCDC88C
CTCF,CD276
CTCF,CDC37
CTCF,CDH23
CTCF,CDH4
CTCF,CDK5RAP2
CTCF,CDYL
CTCF,CELF4
CTCF,CFAP46
CTCF,CHCHD6
CTCF,CHD2
CTCF,CHD5
CTCF,CLEC16A
CTCF,CLIP2
CTCF,CLYBL
CTCF,CNTNAP2
CTCF,COBL
CTCF,COIL
CTCF,COL13A1
CTCF,COL16A1
CTCF,COL22A1
CTCF,COL5A1
CTCF,CORO2B
CTCF,CPNE4
CTCF,CREB3L1
CTCF,CREB5
CTCF,CSGALNACT1
CTCF,CSK
CTCF,CSMD1
CTCF,CSMD2
CTCF,CTIF
CTCF,CTNNA1
CTCF,CTNND2
CTCF,CUEDC1
CTCF,CUX1
CTCF,CYFIP2
CTCF,DAB2IP
CTCF,DAPK1
CTCF,DCDC1
CTCF,DCHS2
CTCF,DCTPP1
CTCF,DENND3
CTCF,DGKD
CTCF,DGKG
CTCF,DIAPH1
CTCF,DIS3L2
CTCF,DLG2
CTCF,DLGAP1
CTCF,DLGAP4
CTCF,DNAJB12
CTCF,DNMBP
CTCF,DOCK4
CTCF,DPP6
CTCF,DPYSL2
CTCF,DST
CTCF,DTNA
CTCF,DUSP7
CTCF,DYNC1I1
CTCF,DYSF
CTCF,EBF4
CTCF,ECE1
CTCF,EFHC1
CTCF,EGLN3
CTCF,EHMT1
CTCF,ELL
CTCF,ELMO1
CTCF,ELMSAN1
CTCF,EML1
CTCF,EPAS1
CTCF,EPB41L1
CTCF,ERC2
CTCF,ERCC1
CTCF,ERGIC1
CTCF,ESRRB
CTCF,EXOC4
CTCF,EXOC6
CTCF,EXT2
CTCF,EXTL3
CTCF,FAM171A1
CTCF,FAM172A
CTCF,FAM220A
CTCF,FANCC
CTCF,FARP1
CTCF,FBRSL1
CTCF,FBXW11
CTCF,FGD5
CTCF,FHAD1
CTCF,FHOD3
CTCF,FMN1
