TF,Target
CEBPA,FAS
CEBPA,FASN
CEBPA,FGA
CEBPA,FGL2
CEBPA,FN1
CEBPA,FOXA2
CEBPA,GADD45A
CEBPA,GAPDH
CEBPA,GDNF
CEBPA,GLS2
CEBPA,GPX4
CEBPA,GSK3A
CEBPA,GSK3B
CEBPA,GUCY2C
CEBPA,HAMP
CEBPA,HMGB1
CEBPA,HNF4A
CEBPA,HOMER3
CEBPA,HP
CEBPA,HPX
CEBPA,HSD17B11
CEBPA,HSPA4
CEBPA,ICAM1
CEBPA,ID1
CEBPA,IGF1
CEBPA,IGF2
CEBPA,IGFBP1
CEBPA,IL10
CEBPA,IL12B
CEBPA,IL1A
CEBPA,IL3
CEBPA,IL4
CEBPA,IL5
CEBPA,IL6
CEBPA,INSR
CEBPA,IRS1
CEBPA,ITGA2
CEBPA,ITGAL
CEBPA,ITGAX
CEBPA,ITGB2
CEBPA,KAT7
CEBPA,KCNH8
CEBPA,KCNMA1
CEBPA,LBP
CEBPA,LDLR
CEBPA,LEP
CEBPA,LIPC
CEBPA,LTF
CEBPA,MAD1L1
CEBPA,MAT2A
CEBPA,MME
CEBPA,MMP11
CEBPA,MSR1
CEBPA,MYBL1
CEBPA,MYC
CEBPA,NFYA
CEBPA,NFYC
CEBPA,NR5A1
CEBPA,PCK1
CEBPA,PCK2
CEBPA,PCNA
CEBPA,PER2
CEBPA,PPARG
CEBPA,PTGS2
CEBPA,RB1
CEBPA,RNASE2
CEBPA,S100A9
CEBPA,SAA1
CEBPA,SCD
CEBPA,SERPINC1
CEBPA,SFTPD
CEBPA,SLC10A1
CEBPA,SLC9A1
CEBPA,SMYD2
CEBPA,SOCS3
CEBPA,SOD1
CEBPA,SP1
CEBPA,SPI1
CEBPA,SPIDR
CEBPA,SPP1
CEBPA,SREBF1
CEBPA,SREBF2
CEBPA,STAR
CEBPA,STAT3
CEBPA,TF
CEBPA,THOC1
CEBPA,TIMP2
CEBPA,TK1
CEBPA,TNFAIP3
CEBPA,TNFRSF1A
CEBPA,TOP2A
CEBPA,TSC22D3
CEBPA,UBE2L3
CEBPA,UHRF1
CEBPA,VLDLR
CEBPA,XDH
CEBPB,ABCB1
CEBPB,ADM
CEBPB,ALB
CEBPB,ASNS
CEBPB,BCL2L1
CEBPB,CDKN1A
CEBPB,CRP
CEBPB,CSF3R
CEBPB,CSH2
CEBPB,CSRP1
CEBPB,CXCL8
CEBPB,CYP19A1
CEBPB,F8
CEBPB,FASLG
CEBPB,FOS
CEBPB,FURIN
CEBPB,GADD45G
CEBPB,GFER
CEBPB,HP
CEBPB,IGF2
CEBPB,IL10
CEBPB,IL12B
CEBPB,IL1B
CEBPB,IL24
CEBPB,IL3
CEBPB,IL4
CEBPB,IL5
CEBPB,IL6
CEBPB,INSR
CEBPB,PRL
CEBPB,PTGS2
CEBPB,S100A9
CEBPB,SAA1
CEBPB,SAA2
CEBPB,SFTPD
CEBPB,SLC10A1
CEBPB,SLC19A1
CEBPB,STAR
CEBPB,TNF
CEBPB,TNFAIP6
CEBPB,TOP1
CEBPB,XBP1
CEBPD,ALOX5AP
CEBPD,C3
CEBPD,CFTR
CEBPD,CYP19A1
CEBPD,GADD45G
CEBPD,GAPDH
CEBPD,POU5F1
CEBPD,PTGS2
CEBPD,TNF
CEBPE,CTSG
CEBPE,GATA1
CEBPE,LTF
CEBPE,MYC
CEBPE,SPI1
CEBPG,SFTPD
CEBPZ,COL11A1
CEBPZ,MLH1
CEBPZ,SOX9
CLOCK,BHLHE40
CLOCK,BHLHE41
CLOCK,CRY1
CLOCK,CRY2
CLOCK,NR1D2
CLOCK,PER1
CLOCK,PER2
CLOCK,PER3
CREB1,ADRA1A
CREB1,AQP2
CREB1,AQP3
CREB1,BCL2
CREB1,BDKRB1
CREB1,BDNF
CREB1,CCL5
CREB1,CCND1
CREB1,CD4
CREB1,CDK11A
CREB1,CGA
CREB1,CIITA
CREB1,CPT1A
CREB1,CXCR4
CREB1,CYP11A1
CREB1,CYP11B1
CREB1,CYP11B2
CREB1,CYP17A1
CREB1,CYP19A1
CREB1,DBH
CREB1,DIO2
CREB1,EGR1
CREB1,ERBB2
CREB1,ETV3
CREB1,FLT1
CREB1,FN1
CREB1,FOS
CREB1,G6PC
CREB1,HLA-DOB
CREB1,HLA-DQB1
CREB1,HLA-DRA
CREB1,HMOX1
CREB1,HPGD
CREB1,IFNG
CREB1,IL10
CREB1,IL2
CREB1,IL5RA
CREB1,IL6
CREB1,INS
CREB1,JUN
CREB1,MITF
CREB1,MSMB
CREB1,MUC4
CREB1,MUC5AC
CREB1,NF1
CREB1,NOLC1
CREB1,NPY
CREB1,NR4A2
CREB1,NR4A3
CREB1,NTS
CREB1,ODC1
CREB1,PCK1
CREB1,PCK2
CREB1,PCSK1
CREB1,PDYN
CREB1,PLAT
CREB1,POLD2
CREB1,PPP2CA
CREB1,PSEN1
CREB1,PTGS2
CREB1,RARB
CREB1,REN
CREB1,RRM2B
CREB1,SLC19A1
CREB1,SLC20A1
CREB1,SPRY2
CREB1,STAR
CREB1,TG
CREB1,TH
CREB1,TRH
CREB1,UCP1
CREB1,UGT8
CREB1,UXT
CREB1,VEGFA
CREB1,VIP
CREB3L1,SLC1A4
CREM,CCNA2
CREM,CD247
CREM,DUSP1
CREM,FOS
CREM,IL2
CTCF,ABCA2
CTCF,ACKR3
CTCF,ACTR3
CTCF,ACVR1C
CTCF,AHCYL1
CTCF,AKT1
CTCF,ALDH1A3
CTCF,ANG
CTCF,ANKRD46
CTCF,APP
CTCF,ARL2
CTCF,ASAP2
CTCF,ATN1
CTCF,ATXN7
CTCF,B4GALNT1
CTCF,BATF2
CTCF,BBC3
CTCF,BCL2L14
CTCF,BCL6
CTCF,BICD2
CTCF,C1R
CTCF,CCL16
CTCF,CCND1
CTCF,CD80
CTCF,CDKN2A
CTCF,CELSR3
CTCF,CEP135
CTCF,CFTR
CTCF,CHRNA6
CTCF,CIDEB
CTCF,CNIH1
CTCF,COL27A1
CTCF,COMMD2
CTCF,CSF2
CTCF,CT45A5
CTCF,DEFB123
CTCF,DIP2B
CTCF,DMKN
CTCF,DMPK
CTCF,ELP5
CTCF,EPHB1
CTCF,EPX
CTCF,ESRP2
CTCF,ETNK2
CTCF,FBXO7
CTCF,GALNT6
CTCF,GALT
CTCF,GAS7
CTCF,GPR156
CTCF,GRIN3A
CTCF,H19
CTCF,HAUS7
CTCF,HEBP2
CTCF,HMCN1
CTCF,HS1BP3
CTCF,HSPA5
CTCF,IGF2
CTCF,IL19
CTCF,IPO13
CTCF,IRAK2
CTCF,KSR1
CTCF,LPIN3
CTCF,LRRC59
CTCF,MB
CTCF,MCM10
CTCF,MEG3
CTCF,MMP10
CTCF,MRPL17
CTCF,MYC
CTCF,MYD88
CTCF,NBN
CTCF,NCBP3
CTCF,NES
CTCF,NF1
CTCF,NFE2L2
CTCF,NPC1
CTCF,NT5C3A
